,DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Energy city
47896,11/28/2021/14:40,21.4652,61.28,5.068630000000001,438.0,70.9,72892.7316617
49512,12/09/2021/20:00,14.2346,78.6,0.08034000000000001,0.026,0.13,88296.90251210002
21122,05/26/2021/16:20,24.9672,69.64,5.068630000000001,628.0,113.7,76658.00985870001
36253,09/08/2021/18:10,28.8915,59.79,0.26883,134.2,30.34,74158.9305098
36752,09/12/2021/05:20,23.587,66.06,0.28634000000000004,0.055,0.085,58713.7522282
12045,03/24/2021/15:30,20.1365,42.76,0.08652000000000001,726.0,768.0,69238.0971462
24350,06/18/2021/02:20,22.855700000000002,84.0,0.07004,0.04,0.137,95246.0704827
13455,04/03/2021/10:30,17.077399999999997,91.4,0.07004,171.6,157.9,73927.88657480001
41676,10/16/2021/10:00,23.020500000000002,92.6,0.09064,124.8,105.6,69286.1390345
49618,12/10/2021/13:40,18.550300000000004,72.4,0.07828,444.7,98.7,73789.19698210001
46385,11/18/2021/02:50,14.4406,86.3,5.071720000000001,0.04,0.152,49673.958134600005
6911,02/16/2021/23:50,13.2355,78.1,0.07415999999999999,0.07,0.163,71060.19708829999
13825,04/06/2021/00:10,15.8105,81.6,0.07313,0.07,0.141,65293.631559
49350,12/08/2021/17:00,18.8902,54.44,0.07931,109.0,136.7,76517.51852820002
30115,07/28/2021/03:10,29.252,40.01,5.05524,0.102,0.078,76153.5026747
14913,04/13/2021/13:30,22.1862,66.26,0.07622,406.4,250.9,75195.1977096
22567,06/05/2021/17:10,24.7612,81.1,0.06798,255.2,183.4,79761.4354658
3957,01/27/2021/11:30,18.1074,52.69,5.06451,462.0,36.4,73803.9598485
25919,06/28/2021/23:50,25.853,76.3,5.07584,0.069,0.093,91745.2078293
48021,11/29/2021/11:30,20.2704,66.36,0.07313,426.0,57.99,69026.91979043
11979,03/24/2021/04:30,12.3909,61.95,0.08652000000000001,0.037,0.111,50170.916149900004
27294,07/08/2021/13:00,32.8776,53.33,5.060390000000001,859.0,101.6,86631.698041
8497,02/28/2021/00:10,15.2131,84.6,0.09476,0.026,0.159,65425.877811599996
48876,12/05/2021/10:00,9.06297,81.0,5.057300000000001,255.1,34.78,62036.32594495
4436,01/30/2021/19:20,17.242200000000004,61.18,5.06554,0.059,0.134,97054.1460375
15566,04/18/2021/02:20,14.7599,71.2,0.08549000000000001,0.026,0.126,55231.784461300005
13089,03/31/2021/21:30,18.3237,83.7,0.06798,0.037,0.115,91144.2503741
9211,03/04/2021/23:10,15.408800000000001,66.99,0.07725,0.048,0.104,78212.5824109
39775,10/03/2021/05:10,28.2014,49.38,5.06657,0.099,0.093,57084.9663117
3950,01/27/2021/10:20,15.9547,58.36,1.7324599999999999,312.4,34.38,67770.88587740001
19926,05/18/2021/09:00,22.4128,66.0,0.08137,444.4,413.2,67112.027549
46033,11/15/2021/16:10,24.895100000000003,57.04,0.07313,237.9,261.7,75463.3523901
22373,06/04/2021/08:50,24.411,81.2,0.07107000000000001,408.4,346.1,56873.328410999995
37407,09/16/2021/18:30,25.6779,64.13,5.0676,73.7,81.7,81592.9668604
1882,01/13/2021/01:40,16.3873,80.7,0.08857999999999999,0.066,0.159,54928.8464954
28332,07/15/2021/18:00,30.7661,73.6,5.06657,318.1,161.8,88802.8109802
19603,05/16/2021/03:10,19.384600000000002,87.4,5.06451,0.073,0.126,57149.344381099996
10812,03/16/2021/02:00,13.2355,83.7,0.07004,0.091,0.163,54425.7494844
48300,12/01/2021/10:00,19.6524,62.81,0.08549000000000001,281.4,61.72,56496.07758073999
16315,04/23/2021/07:10,16.9435,80.8,0.08137,40.0,33.47,53641.094681
7998,02/24/2021/13:00,19.0962,40.59,0.08755,656.9,72.0,74966.89770490001
16666,04/25/2021/17:40,22.639400000000002,52.15,0.08652000000000001,360.2,371.6,72107.6651879
35005,08/31/2021/02:10,24.287399999999998,75.7,5.06348,0.113,0.13,59337.0548845
13240,04/01/2021/22:40,17.345200000000002,88.2,0.08137,0.048,0.07,81277.26432080001
5709,02/08/2021/15:30,17.2628,56.09,5.06348,602.4,255.1,70806.8364729
26397,07/02/2021/07:30,26.6358,86.7,5.060390000000001,120.6,98.3,58033.3795791
4341,01/30/2021/03:30,18.8181,78.0,5.06348,0.062,0.1,51665.8518257
32012,08/10/2021/07:20,26.913899999999998,51.22,5.04906,75.2,58.27,68005.3026504
52364,12/29/2021/15:20,16.861099999999997,41.52,0.08137,374.0,37.82,67261.2411976
9899,03/09/2021/17:50,22.855700000000002,51.0,0.07828,222.1,252.2,68445.3584496
50996,12/20/2021/03:20,18.869600000000002,68.42,0.07210000000000001,0.055,0.1,49014.69445691
1009,01/07/2021/00:10,16.6757,77.8,0.08755,0.044,0.111,66295.7183015
9390,03/06/2021/05:00,10.2897,87.2,0.08446000000000001,0.048,0.108,53007.888924900006
29983,07/27/2021/05:10,28.0469,61.32,5.05421,0.091,0.119,65211.412663899995
14573,04/11/2021/04:50,17.6748,89.3,0.06901,0.055,0.104,55777.2211055
38126,09/21/2021/18:20,30.230500000000003,30.41,5.0676,75.2,72.2,87261.4655953
34374,08/26/2021/17:00,29.808200000000003,71.7,5.07069,411.3,144.2,80199.0412864
10017,03/10/2021/13:30,23.1853,51.44,5.06554,755.0,54.95,75794.0961948
31203,08/04/2021/16:30,31.4974,58.65,5.05318,149.4,112.8,96093.7809488
34585,08/28/2021/04:10,27.1096,93.4,5.08923,0.058,0.13,62708.9086268
40239,10/06/2021/10:30,24.287399999999998,48.96,5.071720000000001,542.9,37.5,71704.28039630002
15553,04/18/2021/00:10,15.604500000000002,69.67,0.08446000000000001,0.033,0.089,65289.466630400006
18119,05/05/2021/19:50,23.0308,63.56,0.07518999999999999,19.12,19.28,97823.825331
48675,12/04/2021/00:30,12.4527,85.0,0.08652000000000001,0.055,0.111,57787.9713877
42401,10/21/2021/10:50,24.452199999999998,65.2,5.06554,516.6,50.43,64515.245284100005
11288,03/19/2021/09:20,13.5548,90.0,0.08652000000000001,48.26,44.28,61458.0876169
18010,05/05/2021/01:40,18.3649,75.7,5.06657,0.051,0.156,58431.884241
6048,02/11/2021/00:00,13.966800000000001,86.0,0.07828,0.044,0.148,70993.46446979999
9285,03/05/2021/11:30,17.334899999999998,64.72,0.07931,663.2,95.8,73970.41054710001
1350,01/09/2021/09:00,13.9462,80.1,0.07622,25.28,24.26,59497.18654340001
30163,07/28/2021/11:10,33.413199999999996,40.38,5.05833,782.0,38.11,99326.47347170001
31255,08/05/2021/01:10,28.6958,88.8,5.05936,0.055,0.133,89546.16531740001
16341,04/23/2021/11:30,22.4128,59.77,0.09064,464.3,285.7,76871.4468398
37664,09/18/2021/13:20,27.253800000000002,71.7,5.07275,340.3,272.6,77621.9839953
48452,12/02/2021/11:20,16.377000000000002,78.2,0.08857999999999999,470.4,83.8,58581.813449140005
3474,01/24/2021/03:00,6.90821,76.5,0.08652000000000001,0.051,0.145,52261.0590896
2312,01/16/2021/01:20,13.0398,68.86,0.08652000000000001,0.048,0.122,56436.8075924
37200,09/15/2021/08:00,21.63,79.2,0.28634000000000004,24.73,21.48,56952.0731779
30510,07/30/2021/21:00,28.7885,69.79,5.05421,0.102,0.067,127227.37664699998
25101,06/23/2021/07:30,22.5364,80.7,5.06348,74.9,58.84,50682.718175
49460,12/09/2021/11:20,12.5557,82.9,0.09064,336.7,118.5,64035.23511952
35583,09/04/2021/02:30,22.526100000000003,79.6,0.28222,0.069,0.096,58761.4716956
24875,06/21/2021/17:50,29.499200000000002,33.06,5.06657,434.1,436.4,85114.08149740001
47040,11/22/2021/16:00,18.9623,50.45,5.068630000000001,279.9,72.8,67051.33799509001
47438,11/25/2021/10:20,18.3958,58.49,5.068630000000001,322.6,36.59,57202.23609032
36315,09/09/2021/04:30,22.6188,72.9,0.3502,0.073,0.122,57033.75423790001
48308,12/01/2021/11:20,20.703000000000003,56.24,0.08652000000000001,439.6,71.2,62665.02617823
10780,03/15/2021/20:40,14.214,79.7,0.07313,0.062,0.137,98733.3889554
45577,11/12/2021/12:10,23.69,60.11,0.07415999999999999,529.3,56.92,78045.8165632
14190,04/08/2021/13:00,18.3031,82.0,0.07107000000000001,240.7,225.1,69328.82827029999
8240,02/26/2021/05:20,17.6954,57.48,0.0824,0.048,0.126,54242.654449300004
37537,09/17/2021/16:10,25.7088,83.5,5.06348,227.5,197.7,72596.2398169
10779,03/15/2021/20:30,14.1316,79.0,0.07828,0.091,0.108,99024.5548041
52330,12/29/2021/09:40,14.481800000000002,45.16,0.07931,178.2,30.21,59229.78689101
27732,07/11/2021/14:00,32.403800000000004,63.14,5.05627,865.0,82.0,102691.6510939
46741,11/20/2021/14:10,18.498800000000003,27.33,5.071720000000001,491.2,33.8,69535.2261593
23732,06/13/2021/19:20,24.6479,48.18,0.08034000000000001,133.4,145.9,104888.754878
24032,06/15/2021/21:20,24.050500000000003,71.3,0.07415999999999999,0.073,0.119,103729.56579929999
34811,08/29/2021/17:50,31.8167,52.52,5.06657,220.3,123.1,74533.1805257
32601,08/14/2021/09:30,26.872700000000002,53.42,5.05627,502.1,30.87,85263.8261934
15143,04/15/2021/03:50,15.316099999999999,85.8,0.08549000000000001,0.018,0.141,53224.1077918
12272,03/26/2021/05:20,13.7608,87.3,0.08961,0.022,0.204,54478.718274700004
17036,04/28/2021/07:20,15.2028,78.1,0.0824,157.0,141.8,50754.335630300004
764,01/05/2021/07:20,11.886199999999999,82.2,0.08446000000000001,0.084,0.122,55117.5055699
44334,11/03/2021/21:00,19.7863,80.9,0.07518999999999999,0.091,0.089,86235.8511499
41354,10/14/2021/04:20,18.436999999999998,87.3,0.08137,0.033,0.119,54735.339581700006
5873,02/09/2021/18:50,15.3058,73.9,5.06348,6.138,6.105,97792.7712224
18483,05/08/2021/08:30,20.9193,85.3,5.06451,89.6,75.8,60490.35025170001
9948,03/10/2021/02:00,14.790799999999999,73.7,2.0249800000000002,0.015,0.137,54980.841492800006
52255,12/28/2021/21:10,15.944400000000002,51.64,0.08034000000000001,0.051,0.126,88208.11897380001
41465,10/14/2021/22:50,21.4446,83.2,0.08961,0.062,0.1,74439.0517097
50421,12/16/2021/03:30,12.4527,84.1,0.08446000000000001,0.044,0.152,47163.84664522
44427,11/04/2021/12:30,24.1123,67.85,0.07313,561.1,600.3,64818.2871255
47421,11/25/2021/07:30,14.4097,71.8,5.06451,0.044,0.093,40130.70562257001
34031,08/24/2021/07:50,22.8454,70.1,5.060390000000001,145.7,40.61,63591.849933900005
22664,06/06/2021/09:20,23.772399999999998,82.7,0.07622,225.9,195.0,62960.1688765
49024,12/06/2021/10:40,9.7644,80.7,0.08961,352.0,34.97,66060.52765139
49086,12/06/2021/21:00,13.493,73.1,0.08137,0.051,0.134,90253.50415960001
25283,06/24/2021/13:50,27.1096,68.15,5.06348,897.0,53.92,78070.94945930001
42319,10/20/2021/21:10,21.9905,84.6,5.0676,0.051,0.133,89329.6999818
24460,06/18/2021/20:40,24.3904,81.4,0.06901,3.639,2.987,106778.9056841
33234,08/18/2021/19:00,28.6031,83.2,5.0676,124.5,107.5,109613.43789470001
37103,09/14/2021/15:50,32.0845,34.34,0.33269000000000004,567.0,40.97,74753.3679208
41396,10/14/2021/11:20,24.936300000000003,69.73,0.07210000000000001,459.8,118.2,67205.02512630001
16549,04/24/2021/22:10,20.1262,61.53,0.08137,0.011,0.126,90922.5222638
11515,03/20/2021/23:10,15.316099999999999,83.4,0.07622,0.026,0.152,78597.99811090001
21841,05/31/2021/16:10,26.4195,58.11,0.07107000000000001,670.9,64.47,76815.417765
31183,08/04/2021/13:10,32.3523,60.99,5.05112,472.7,313.3,100316.1771113
16845,04/26/2021/23:30,17.9323,78.3,0.08137,0.04,0.137,73245.4793873
42180,10/19/2021/22:00,23.0308,79.0,5.060390000000001,0.073,0.104,82764.4760884
26894,07/05/2021/18:20,32.146300000000004,60.9,5.06966,308.2,309.6,87035.33139220002
5551,02/07/2021/13:10,13.4003,75.7,5.0676,171.7,173.7,73094.60769620001
38026,09/21/2021/01:40,26.9551,38.01,5.06657,0.091,0.126,57977.919888300006
4127,01/28/2021/15:50,19.384600000000002,55.14,5.06451,394.9,372.0,64784.7859944
27591,07/10/2021/14:30,31.5489,61.23,5.05627,834.0,80.4,99811.27809470001
15656,04/18/2021/17:20,21.784499999999998,63.0,0.07725,326.4,281.4,72624.39227129999
37596,09/18/2021/02:00,24.3183,88.4,5.05936,0.062,0.182,57492.41122940001
19224,05/13/2021/12:00,28.077800000000003,39.07,0.07931,885.0,47.7,72210.51378820001
24033,06/15/2021/21:30,23.9063,71.5,0.06798,0.066,0.082,102125.56456679999
20073,05/19/2021/09:30,23.0514,76.0,0.06901,529.4,481.3,70721.5689117
25001,06/22/2021/14:50,31.260500000000004,37.19,5.06657,849.0,49.74,84471.4816263
18291,05/07/2021/00:30,19.1889,74.7,0.0824,0.055,0.104,63880.18193330001
45606,11/12/2021/17:00,23.0823,58.27,0.07518999999999999,146.6,169.5,75801.71423960001
7154,02/18/2021/16:20,16.3152,69.58,0.07622,129.5,130.1,73724.87593349999
19387,05/14/2021/15:10,23.834200000000003,67.6,5.078930000000001,795.0,435.9,77003.9103503
50367,12/15/2021/18:30,18.4679,68.99,0.08446000000000001,0.132,0.219,88098.1636413
1944,01/13/2021/12:00,17.6645,66.32,0.08755,153.1,155.3,74225.7398221
22654,06/06/2021/07:40,22.763,86.1,0.07415999999999999,98.5,78.7,52409.5571663
41710,10/16/2021/15:40,25.9972,72.3,0.08446000000000001,78.9,68.58,71868.44392840001
43846,10/31/2021/11:40,22.8351,43.3,0.08549000000000001,681.9,665.1,70710.4317071
39333,09/30/2021/03:30,21.6918,89.8,5.06142,0.077,0.107,55188.2542614
17516,05/01/2021/15:20,31.311999999999998,34.8,0.06695000000000001,536.5,334.2,74198.24213869999
40777,10/10/2021/04:10,23.834200000000003,72.7,0.28943,0.051,0.144,54352.4944012
3485,01/24/2021/04:50,6.11717,79.0,0.08961,0.062,0.126,51786.4593667
36753,09/12/2021/05:30,23.5973,65.86,0.27604,0.077,0.096,56222.4527886
403,01/02/2021/19:10,13.9359,79.0,0.08034000000000001,0.073,0.093,98816.45481950001
34507,08/27/2021/15:10,28.6031,83.2,5.07069,394.9,300.3,85178.6254277
33815,08/22/2021/19:50,27.4804,58.49,5.05009,6.963,5.915,121939.48545880002
50901,12/19/2021/11:30,19.4258,67.26,0.07313,239.3,130.3,69188.73778902
33283,08/19/2021/03:10,27.192,91.3,5.06657,0.077,0.196,73079.07125860002
48549,12/03/2021/03:30,15.141,80.0,5.06657,0.084,0.134,47276.65788035
46518,11/19/2021/01:00,15.944400000000002,69.15,0.08343,0.018,0.152,55607.6548938
1347,01/09/2021/08:30,14.214,79.3,0.08137,5.19,5.211,56000.010919199995
2619,01/18/2021/04:30,15.326400000000001,81.2,0.07828,0.081,0.111,50218.8900582
16542,04/24/2021/21:00,19.3331,65.37,0.08034000000000001,0.037,0.126,98915.94452799999
9448,03/06/2021/14:40,20.3425,57.14,0.07828,689.3,558.0,73555.5674175
8403,02/27/2021/08:30,15.8311,62.42,0.08652000000000001,93.7,94.1,55606.22411050001
17631,05/02/2021/10:30,25.956,35.44,0.08343,513.7,327.0,69446.6979271
49525,12/09/2021/22:10,12.7308,84.3,0.09064,0.073,0.152,80771.04863460001
44371,11/04/2021/03:10,17.685100000000002,86.2,0.07415999999999999,0.051,0.119,51025.461098600004
39015,09/27/2021/22:30,22.6188,84.0,5.06451,0.084,0.093,80587.3545
18250,05/06/2021/17:40,28.1293,42.01,0.15862,399.4,432.6,64230.8145127
28829,07/19/2021/04:50,25.6985,60.69,5.06245,0.099,0.082,68657.0600764
40657,10/09/2021/08:10,22.7115,89.4,0.07313,22.08,17.93,59121.44554791001
30074,07/27/2021/20:20,32.4862,41.61,5.05421,7.14,6.076,129690.70250200001
30401,07/30/2021/02:50,24.936300000000003,68.4,5.05215,0.062,0.133,77757.014513
11961,03/24/2021/01:30,12.9162,64.52,0.09064,0.073,0.115,54930.4298423
21422,05/28/2021/18:20,30.4159,48.2,5.071720000000001,277.5,284.4,85861.31452619999
1176,01/08/2021/04:00,17.386400000000002,72.1,0.07725,0.066,0.134,48431.8702372
38080,09/21/2021/10:40,30.488000000000003,37.21,5.07069,638.6,133.0,71823.01918769999
17,12/31/2020/02:50,7.6292100000000005,78.5,0.08446000000000001,0.062,0.163,51946.5899544
11884,03/23/2021/12:40,17.314300000000003,66.61,0.08961,774.0,219.4,72314.7950979
24556,06/19/2021/12:40,27.542199999999998,64.21,0.07313,873.0,87.5,80626.368222
13576,04/04/2021/06:40,17.4791,87.0,0.07004,0.044,0.182,51255.4339778
11514,03/20/2021/23:00,15.2955,82.9,0.08755,0.044,0.178,80554.5796734
8277,02/26/2021/11:30,18.5091,59.95,0.08343,606.1,86.0,73121.1835914
27171,07/07/2021/16:30,31.9712,62.3,5.057300000000001,606.9,97.4,87788.7704594
38189,09/22/2021/04:50,23.6488,64.35,5.068630000000001,0.051,0.152,57186.353475899996
49540,12/10/2021/00:40,11.556600000000001,86.3,0.08755,0.037,0.148,57255.9015067
22726,06/06/2021/19:40,24.4831,75.9,0.07107000000000001,73.1,68.88,101193.9911093
1054,01/07/2021/07:40,16.2122,68.08,0.0927,0.051,0.152,42724.236497800004
40431,10/07/2021/18:30,23.6591,70.9,1.2617500000000001,13.84,10.87,92347.254458
35297,09/02/2021/02:50,22.66,58.35,5.068630000000001,0.099,0.082,60548.892959100005
43530,10/29/2021/07:00,18.4885,86.5,5.06245,0.066,0.07,49553.74499605001
2343,01/16/2021/06:30,11.999500000000001,76.3,0.07828,0.07,0.115,56859.4088262
38741,09/26/2021/00:50,23.1029,83.7,5.060390000000001,0.073,0.104,62766.0459713
25281,06/24/2021/13:30,27.1714,67.38,5.06966,906.0,54.81,77615.3833845
12508,03/27/2021/20:40,22.4025,55.02,5.071720000000001,0.062,0.13,98944.947062
25264,06/24/2021/10:40,26.203200000000002,67.78,5.06966,757.0,62.46,64759.349444
46674,11/20/2021/03:00,15.6251,56.91,0.08343,0.037,0.104,50700.664883670004
14733,04/12/2021/07:30,18.3031,84.9,0.07313,12.26,10.64,52727.5531039
31581,08/07/2021/07:30,28.5104,92.5,5.05421,34.91,26.13,71199.6144069
24201,06/17/2021/01:30,22.9793,86.3,0.07004,0.048,0.148,92349.5112292
18124,05/05/2021/20:40,21.784499999999998,67.03,0.07107000000000001,0.07,0.137,97717.7719372
38147,09/21/2021/21:50,26.501900000000003,42.35,5.07275,0.088,0.052,88439.72761660001
31197,08/04/2021/15:30,31.5283,65.06,5.05112,357.2,253.4,96561.3303526
49903,12/12/2021/13:10,15.244000000000002,55.81,0.08034000000000001,121.0,123.9,69501.93040299001
31905,08/09/2021/13:30,38.0482,29.84,5.05009,705.0,203.1,103357.1705662
49322,12/08/2021/12:20,16.3976,65.24,0.08755,437.1,65.33,70131.51571630001
47133,11/23/2021/07:30,11.4536,59.73,5.06348,0.08,0.159,49125.8385979
38208,09/22/2021/08:00,20.9502,71.3,5.06657,50.7,30.73,56041.794321500005
17954,05/04/2021/16:20,27.985100000000003,30.0,5.06657,577.1,555.9,71532.7579159
19841,05/17/2021/18:50,25.441,60.61,5.06966,173.1,98.0,78718.3479665
1065,01/07/2021/09:30,16.274,64.61,0.08343,72.6,44.84,53627.708162400006
43003,10/25/2021/15:10,19.487600000000004,85.9,0.08137,142.8,123.4,71985.3150002
29911,07/26/2021/17:10,34.48440000000001,41.91,5.05318,493.3,99.4,103365.561523
32968,08/16/2021/22:40,26.3268,62.65,0.07107000000000001,0.088,0.093,112587.5012904
376,01/02/2021/14:40,17.9323,64.1,0.07622,430.9,43.09,72516.82168749999
24877,06/21/2021/18:10,29.324099999999998,35.82,5.06451,371.0,397.2,86436.817097
39330,09/30/2021/03:00,21.753600000000002,89.7,5.06142,0.066,0.119,55042.32227520001
42019,10/18/2021/19:10,23.6488,83.2,5.06451,0.051,0.096,97967.1828322
42459,10/21/2021/20:30,23.1029,83.2,5.06451,0.048,0.126,91652.3322658
22237,06/03/2021/10:10,24.6891,74.1,0.07004,636.0,541.3,54073.0984964
46140,11/16/2021/10:00,14.8526,75.1,0.09373,243.2,117.9,68305.8174692
14083,04/07/2021/19:10,16.9126,89.9,0.07107000000000001,7.56,7.04,94687.3807049
28056,07/13/2021/20:00,28.943,75.3,5.05936,12.1,10.07,120636.2683386
46897,11/21/2021/16:10,18.3237,48.08,5.07069,50.66,48.92,67564.7069149
39977,10/04/2021/14:50,30.591,47.98,5.06554,334.8,99.5,75145.008467
37975,09/20/2021/17:10,34.5668,27.64,5.074809999999999,294.3,87.0,72106.0940259
32435,08/13/2021/05:50,22.6291,44.72,5.057300000000001,0.135,0.044,55268.9140352
19382,05/14/2021/14:20,23.484,69.33,5.0676,874.0,139.7,78528.15320320001
19896,05/18/2021/04:00,20.2395,72.6,0.07931,0.066,0.089,57277.71515570001
25047,06/22/2021/22:30,24.4419,57.97,5.06348,0.091,0.07,105416.18874960001
45811,11/14/2021/03:10,15.8826,86.6,0.08343,0.029,0.115,51840.4265257
2126,01/14/2021/18:20,19.5185,57.68,0.08549000000000001,8.99,9.11,92799.4892553
51969,12/26/2021/21:30,17.561500000000002,66.32,0.08446000000000001,0.055,0.122,87930.4902709
9000,03/03/2021/12:00,17.643900000000002,62.38,5.060390000000001,241.1,227.7,72671.5662816
26652,07/04/2021/02:00,27.0787,85.8,5.05936,0.08,0.119,73650.4637483
7647,02/22/2021/02:30,16.9435,51.97,0.08446000000000001,0.077,0.111,52470.6840819
42157,10/19/2021/18:10,28.0057,46.05,5.06451,35.64,14.03,93620.2277397
13957,04/06/2021/22:10,16.8302,82.1,0.07210000000000001,0.048,0.193,90490.9728741
32344,08/12/2021/14:40,30.951500000000003,37.51,5.05112,853.0,103.2,91518.3925799
5971,02/10/2021/11:10,17.2731,58.33,5.06142,475.0,118.6,70744.4504853
5869,02/09/2021/18:10,16.037100000000002,71.1,5.06245,66.75,72.7,95854.9120935
6620,02/14/2021/23:20,16.706599999999998,65.59,0.08961,0.033,0.119,75325.3800585
35502,09/03/2021/13:00,28.119,54.12,0.28325000000000006,768.0,113.9,75304.1024524
47348,11/24/2021/19:20,19.6112,63.32,5.07069,0.059,0.033,88975.4269395
16250,04/22/2021/20:20,20.291,68.8,0.08446000000000001,0.037,0.119,93362.33211670001
48012,11/29/2021/10:00,12.864700000000001,81.0,0.08652000000000001,303.9,149.1,63740.79931128
4572,01/31/2021/18:00,15.264600000000002,46.61,5.07069,82.6,105.3,91573.29198159999
20790,05/24/2021/09:00,20.6206,85.6,5.06451,358.9,309.4,65969.6701432
19592,05/16/2021/01:20,20.3116,85.0,5.06554,0.059,0.148,60470.60968370001
12599,03/28/2021/11:50,25.7706,46.02,5.07275,769.0,524.5,75706.0715811
9577,03/07/2021/12:10,18.2516,66.12,3.73581,713.0,85.6,75368.0070411
